UB Account Number,Service File Number,Acct Status,,UB Address,Zip (Lot),H.S. Service,UB Mapped - Private Side Verification Method,UB Mapped - Public Side Verification Method,H.S. Verification Method,S.S. Service,UB Private Side,UB Utility Side,UB SL Category,S.S. Verification Method,S.S. Previously Lead?,UB Account Type,
000015-000,2525,Active,,60 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000016-000,3332,Active,,62 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000017-000,2968,Suspended,,78 GRAMATAN AV,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000018-000,7300,Active,,88 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000019-000,3282,Active,,90 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000020-000,2432,Active,,94 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000021-000,8149,Active,,104 GRAMATAN AV,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000022-000,717,Active,,108 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000023-000,1317,Active,,118 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000024-000,8476,Active,,134 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000025-000,7397,Active,,146 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000026-000,6936,Active,,158 GRAMATAN AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000027-000,10583,Active,,172 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000028-000,7256,Active,,176 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000029-000,2789,Active,,184 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000030-000,5237,Active,,190 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000031-000,2563,Active,,198 GRAMATAN AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
000032-000,12625,Active,,222 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000033-000,1193,Delete,,224 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000034-000,3863,Delete,,260 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000035-000,7078,Active,,300 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000036-000,3279,Active,,384 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000037-000,2355,Active,,388 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000038-000,10741,Active,,400 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000039-000,12627,Active,,402 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000040-000,12628,Active,,404 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000041-000,8500,Active,,406 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000042-000,9379,Active,,410 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000043-000,8097,Active,,414 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000044-000,7868,Active,,422 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000045-000,10034,Active,,434 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000046-000,3544,Active,,436 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000047-000,8730,Active,,472 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000048-000,6960,Active,,472 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000049-000,7116,Active,,504 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000050-000,7031,Active,,510 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000051-000,8794,Active,,514 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000052-000,9274,Active,,524 GRAMATAN AV,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000053-000,8198,Active,,546 GRAMATAN AV,10552,copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000054-000,8196,Delete,,550 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000055-000,8189,Active,,552 GRAMATAN AV,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000056-000,8202,Active,,556 GRAMATAN AV,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000057-000,8184,Active,,558 GRAMATAN AV,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000058-000,6695,Active,,562 GRAMATAN AV,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000059-000,12576,Active,,572 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000060-000,8686,Delete,,576 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000061-000,8687,Active,,578 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000062-000,10009,Delete,,584 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000063-000,10155,Active,,630 GRAMATAN AV,10552,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000064-000,10241,Suspended,,630 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000065-000,11416,Active,,654 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000066-000,10304,Active,,660 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000067-000,10556,Active,,666 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000068-000,8862,Active,,676 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000069-000,10726,Active,,680 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000070-000,8633,Active,,688 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000071-000,10349,Active,,700 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000072-000,9059,Active,,708 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000073-000,10870,Active,,720 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000074-000,10736,Active,,730 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000075-000,10420,Active,,740 GRAMATAN AV,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000076-000,7709,Active,,750 GRAMATAN AV,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000077-000,6025,Active,,760 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000078-000,12406,Active,,764 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000079-000,12407,Active,,770 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000080-000,11971,Active,,780 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000081-000,12452,Active,,790 GRAMATAN AV,10552,copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
000082-000,12453,Active,,794 GRAMATAN AV,10552,copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
000083-000,3522,Active,,800 GRAMATAN AV,10552,Lead,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000084-000,5072,Active,,812 GRAMATAN AV,10552,Copper,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000085-000,4841,Active,,830 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000086-000,6388,Active,,844 GRAMATAN AV,10552,Copper,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000087-000,4559,Active,,825 GRAMATAN AV,10552,Copper,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000088-000,4885,Active,,801 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000089-000,11545,Active,,791 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000090-000,5443,Active,,765 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000091-000,5012,Active,,753 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000092-000,11724,Active,,747 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000093-000,5009,Active,,743 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000094-000,11747,Active,,741 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000095-000,5047,Active,,737 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000096-000,5048,Active,,725 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000097-000,5082,Active,,715 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000098-000,5083,Active,,707 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000099-000,4963,Active,,699 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000100-000,12357,Active,,693 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000101-000,4881,Active,,689 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000102-000,12388,Active,,685 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000103-000,4964,Active,,683 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000104-000,4882,Active,,671 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000105-000,11250,Active,,667 GRAMATAN AV,10552,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer ID with Photo or Other Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
000106-000,4965,Active,,663 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000107-000,12347,Active,,659 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000108-000,4966,Active,,653 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000109-000,11043,Active,,625 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000110-000,10705,Active,,571 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000111-000,10097,Active,,559 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000112-000,10066,Active,,525 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000113-000,4381,Active,,515 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000114-000,5338,Active,,509 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000115-000,8709,Active,,485 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000116-000,7502,Active,,445 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000117-000,3656,Active,,415 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000118-000,12070,Active,,395 GRAMATAN AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000119-000,2849,Active,,363 GRAMATAN AV,10552,Lead,Field Inspection,Records,Field Inspection,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
000120-000,8107,Active,,351 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000121-000,6031,Active,,345 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000122-000,4142,Active,,333 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000123-000,5786,Active,,301 GRAMATAN AV,10552,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000124-000,8604,Active,,301 GRAMATAN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000125-000,7302,Active,,203 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000126-000,5460,Active,,159 GRAMATAN AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
000128-000,12444,Active,,147 GRAMATAN AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000129-000,11403,Active,,145 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000130-000,4541,Active,,99 GRAMATAN AV,10550,Brass,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000131-000,460,Active,,79 GRAMATAN AV,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000132-000,2400,Active,,65 GRAMATAN AV,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000133-000,720,Delete,,59 GRAMATAN AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000134-000,2401,Active,,57 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000135-000,12169,Active,,47 GRAMATAN AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000136-000,2925,Active,,41 GRAMATAN AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000137-000,4611,Active,,110 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000138-000,467,Active,,112 N FIFTH AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,YEs,Billable,1
000139-000,12481,Active,,112 N FIFTH AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Yes,Billable,1
000140-000,523,Active,,114 N FIFTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
000141-000,524,Active,,116 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000142-000,2290,Active,,118 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000143-000,4748,Active,,120 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000144-000,2235,Active,,122 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000145-000,2578,Active,,124 N FIFTH AV,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000146-000,1930,Active,,128 N FIFTH AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000147-000,418,Active,,130 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000148-000,415,Active,,132 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000149-000,2587,Active,,136 N FIFTH AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
000150-000,8178,Active,,138 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000151-000,1502,Active,,140 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000152-000,2608,Delete,,208 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000153-000,6160,Active,,212 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000154-000,408,Active,,216 N FIFTH AV,10550,Galvanized,Field Inspection,Records,Onsite Verification,Lead,Galvanized,Lead,Lead,Records,Yes,Billable,1
000155-000,1866,Active,,218 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000156-000,2064,Active,,220 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000157-000,9771,Active,,222 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000158-000,9772,Active,,224 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000159-000,835,Active,,226 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000160-000,1391,Active,,228 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000161-000,1044,Active,,230 N FIFTH AV,10550,Lead,Field Inspection,Records,Field Inspection,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
000162-000,943,Active,,233 N FIFTH AV,10550,Lead,Field Inspection,Records,Onsite Verification,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000163-000,942,Active,,229 N FIFTH AV,10550,Lead,Field Inspection,Records,Onsite Verification,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
000164-000,3186,Active,,211 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000165-000,5339,Active,,209 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000166-000,5330,Active,,137 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000167-000,2891,Active,,135 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000168-000,5604,Active,,133 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000169-000,681,Active,,131 N FIFTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
000170-000,430,Active,,129 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000171-000,1880,Active,,127 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000172-000,1887,Active,,125 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000173-000,5375,Active,,123 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000174-000,1894,Active,,119 N FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
